schl_nr,buchseite,feld,wert_parser,wert_qwen,wert_mistral,status_parser,einig,korrektur,beleg,grund
01067,133,namensgruppe,Gewässer,Gewässer,"Gewässer, Str.-Gr.: Gemeinde-, Str.-Kl.: Straße",unsicher,eines,,,Anker OCR-korrigiert
01067,133,verweis_auf,,,,unsicher,keines,,,Anker OCR-korrigiert
01067,133,stadium_1_datum,1906-05-11,1906-05-11,1906-05-11,unsicher,keines,,,Anker OCR-korrigiert
01067,133,stadium_1_name,Lessingstraße,Lessingstraße,Lessingstraße,unsicher,keines,,,Anker OCR-korrigiert
01067,133,stadium_2_datum,1915-07-09,1915-07-09,1915-07-09,unsicher,keines,,,Anker OCR-korrigiert
01067,133,stadium_2_name,Graitengraben,Graitengraben,Graitengraben,unsicher,keines,,,Anker OCR-korrigiert
01073,133,lemma,Graudenzstraße,Graudenzstraße,Graudenzstraße,unsicher,keines,,,Datum: Tag ungültig
01073,133,stadtteile,Katernberg,Katernberg,Katernberg,unsicher,keines,,,Datum: Tag ungültig
01073,133,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum: Tag ungültig
01073,133,namensgruppe,Stadt und Ort,Stadt und Ort,Stadt und Ort,unsicher,keines,,,Datum: Tag ungültig
01073,133,verweis_auf,,,,unsicher,keines,,,Datum: Tag ungültig
01073,133,stadium_1_datum,1929,1929-02-05,1929-02-05,unsicher,beide,,,Datum: Tag ungültig
01073,133,stadium_1_name,Heinrich-Lersch-Straße,Heinrich-Lersch-Straße,Heinrich-Lersch-Straße,unsicher,keines,,,Datum: Tag ungültig
01073,133,stadium_2_datum,1930-05-31,1930-05-31,1930-05-31,unsicher,keines,,,Datum: Tag ungültig
01073,133,stadium_2_name,Graudenzstraße,Graudenzstraße,Graudenzstraße,unsicher,keines,,,Datum: Tag ungültig
01078,134,lemma,Grendgasse,Grendgasse,,unsicher,eines,,,Datum: Komma nach Tag
01078,134,stadtteile,Steele,Steele,,unsicher,eines,,,Datum: Komma nach Tag
01078,134,strassenklasse,Gemeindestraße,Gemeindestraße,,unsicher,eines,,,Datum: Komma nach Tag
01078,134,namensgruppe,Gewässer,Gewässer,,unsicher,eines,,,Datum: Komma nach Tag
01078,134,verweis_auf,Grendplatz,Grendplatz,,unsicher,eines,,,Datum: Komma nach Tag
01078,134,stadium_1_datum,1890-11-18,1890-11-18,,unsicher,eines,,,Datum: Komma nach Tag
01078,134,stadium_1_name,Grendgasse,Grendgasse,,unsicher,eines,,,Datum: Komma nach Tag
01152,138,lemma,Hachestraße,Hachestraße,Hachestraße,unsicher,keines,,,Namenskette unvollständig gelesen
01152,138,stadtteile,Stadtkern; Westviertel,Stadtkern; Westviertel,Stadtkern; Westviertel,unsicher,keines,,,Namenskette unvollständig gelesen
01152,138,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Namenskette unvollständig gelesen
01152,138,namensgruppe,"Person, Mann, Deutscher, Oberbürgermeister","Person, Mann, Deutscher, Oberbürgermeister","Person, Mann, Deutscher, Oberbürgermeister",unsicher,keines,,,Namenskette unvollständig gelesen
01152,138,verweis_auf,,,,unsicher,keines,,,Namenskette unvollständig gelesen
01152,138,stadium_1_datum,1864-05-06,1864-05-06,1864-05-06,unsicher,keines,,,Namenskette unvollständig gelesen
01152,138,stadium_1_name,Am Bahnhof,Am Bahnhof,Am Bahnhof,unsicher,keines,,,Namenskette unvollständig gelesen
01152,138,stadium_2_datum,1868-01-17,1868-01-17,1868-01-17,unsicher,keines,,,Namenskette unvollständig gelesen
01152,138,stadium_2_name,Märkische Straße,Märkische Straße,Märkische Straße,unsicher,keines,,,Namenskette unvollständig gelesen
01168,141,lemma,Hagmanngarten,Hagmanngarten,Hagmannsgarten,unsicher,eines,,,Datum: Tag ungültig
01168,141,stadtteile,Heisingen,Heisingen,Heisingen,unsicher,keines,,,Datum: Tag ungültig
01168,141,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum: Tag ungültig
01168,141,namensgruppe,"Person, Mann, Deutscher, Bürgermeister","Person, Mann, Deutscher, Bürgermeister","Person, Mann, Deutscher, Bürgermeister, urspr.: Sartoriusstraße",unsicher,eines,,,Datum: Tag ungültig
01168,141,verweis_auf,,,,unsicher,keines,,,Datum: Tag ungültig
01168,141,stadium_1_datum,"(urspr., kein Datum)","(urspr., kein Datum)",1934-06-05,unsicher,eines,,,Datum: Tag ungültig
01168,141,stadium_1_name,Sartoriusstraße,Sartoriusstraße,Hagmannsgarten,unsicher,eines,,,Datum: Tag ungültig
01168,141,stadium_1_urspruenglich,wahr,wahr,falsch,unsicher,eines,,,Datum: Tag ungültig
01168,141,stadium_2_datum,1934,1934-06-05,"(urspr., kein Datum)",unsicher,eines,,,Datum: Tag ungültig
01168,141,stadium_2_name,Hagmanngarten,Hagmanngarten,Sartoriusstraße,unsicher,eines,,,Datum: Tag ungültig
01168,141,stadium_2_urspruenglich,falsch,falsch,wahr,unsicher,eines,,,Datum: Tag ungültig
01148,142,lemma,Hans-Fehr-Allee,Hans-Fehr-Allee,Hans-Fehr-Allee,unsicher,keines,,,
01148,142,stadtteile,Bergeborbeck,Bergeborbeck,Bergeborbeck,unsicher,keines,,,
01148,142,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,
01148,142,namensgruppe,"Person Mann, Deutscher, Politiker","Person Mann, Deutscher, Politiker","Person, Mann, Deutscher, Politiker",unsicher,eines,,,
01148,142,verweis_auf,,,,unsicher,keines,,,
01148,142,stadium_1_datum,1999-02-24,1999-02-24,1999-02-24,unsicher,keines,,,
01148,142,stadium_1_name,Hans-Fehr-Allee,Hans-Fehr-Allee,Hans-Fehr-Allee,unsicher,keines,,,
01186,142,lemma,Hansastraße,Hansastraße,Hansastraße,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,stadtteile,Steele,Steele,Steele,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,namensgruppe,Industrie und Wirtschaft,Industrie und Wirtschaft,Industrie und Wirtschaft,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,stadium_1_datum,1890-11-18,1890-11-18,1890-11-18,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,stadium_1_name,Chausseestraße,Chausseestraße,Chausseestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,stadium_2_datum,1890-11-18,1890-11-18,1890-11-18,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,stadium_2_name,Markt (tlw.),Markt (tlw.),Markt (tlw.),unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,stadium_3_datum,1926-06-01,1926-06-01,1926-06-01,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,stadium_3_name,Hansastraße,Hansastraße,Hansastraße,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,stadium_4_datum,1926-06-01,1926-06-01,1926-06-01,unsicher,keines,,,Datum ohne Doppelpunkt
01186,142,stadium_4_name,Hansastraße (Verl.),Hansastraße (Verl.),Hansastraße (Verl.),unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,lemma,Hans-Luther-Allee,Hans-Luther-Allee,Hans-Luther-Allee,unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,stadtteile,Rüttenscheid,Rüttenscheid,Rüttenscheid,unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,namensgruppe,"Person, Mann, Deutscher, Politiker, Oberbürgermeister, Reichskanzler","Person, Mann, Deutscher, Politiker, Oberbürgermeister, Reichskanzler","Person, Mann, Deutscher, Politiker, Oberbürgermeister, Reichskanzler",unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,stadium_1_datum,1907-05-03,1907-05-03,1907-05-03,unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,stadium_1_name,Zweigertstraße (tlw.),Zweigertstraße (tlw.),Zweigertstraße (tlw.),unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,stadium_2_datum,1932,1932,1932,unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,stadium_2_name,Hans-Luther-Straße,Hans-Luther-Straße,Hans-Luther-Straße,unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,stadium_3_datum,1966-06-13,1966-06-13,1966-06-13,unsicher,keines,,,Datum ohne Doppelpunkt
01189,143,stadium_3_name,Hans-Luther-Allee,Hans-Luther-Allee,Hans-Luther-Allee,unsicher,keines,,,Datum ohne Doppelpunkt
01190,143,lemma,Hans-Niemeyer-Straße,Hans-Niemeyer-Straße,Hans-Niemeyer-Straße,unsicher,keines,,,Datum ohne Doppelpunkt
01190,143,stadtteile,Stadtwald,Stadtwald,Stadtwald,unsicher,keines,,,Datum ohne Doppelpunkt
01190,143,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01190,143,namensgruppe,"Person, Mann, Deutscher, Rechtsanwalt, Notar, Justizrat","Person, Mann, Deutscher, Rechtsanwalt, Notar, Justizrat","Person, Mann, Deutscher, Rechtsanwalt, Notar, Justizrat",unsicher,keines,,,Datum ohne Doppelpunkt
01190,143,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01190,143,stadium_1_datum,1930-05-31,1930-05-31,1930-05-31,unsicher,keines,,,Datum ohne Doppelpunkt
01190,143,stadium_1_name,Hans-Niemeyer-Straße,Hans-Niemeyer-Straße,Hans-Niemeyer-Straße,unsicher,keines,,,Datum ohne Doppelpunkt
01198,144,lemma,Hartzbeeker Mark,Hartzbeeker Mark,Hartzbeeker Mark,unsicher,keines,,,Datum ohne Doppelpunkt
01198,144,stadtteile,Haarzopf,Haarzopf,Haarzopf,unsicher,keines,,,Datum ohne Doppelpunkt
01198,144,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01198,144,namensgruppe,Flurname,Flurname,Str.-Gr.: Flurname,unsicher,eines,,,Datum ohne Doppelpunkt
01198,144,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01198,144,stadium_1_datum,1914-05-10,1914-05-10,1914-05-10,unsicher,keines,,,Datum ohne Doppelpunkt
01198,144,stadium_1_name,Rommesweg (tlw.),Rommesweg (tlw.),Rommesweg (tlw.),unsicher,keines,,,Datum ohne Doppelpunkt
01198,144,stadium_2_datum,1934-06-05,1934-06-05,1934-06-05,unsicher,keines,,,Datum ohne Doppelpunkt
01198,144,stadium_2_name,Hartzbeeker Mark,Hartzbeeker Mark,Hartzbeeker Mark,unsicher,keines,,,Datum ohne Doppelpunkt
01204,145,lemma,Hattenheimer Straße,Hattenheimer Straße,Hattenheimer Straße,unsicher,keines,,,
01204,145,stadtteile,Frohnhausen,Frohnhausen,Frohnhausen,unsicher,keines,,,
01204,145,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,
01204,145,namensgruppe,Stadt und Ort,Stadt und Ort,Stadt und Ort,unsicher,keines,,,
01204,145,verweis_auf,,,,unsicher,keines,,,
01204,145,stadium_1_datum,1906-03-10,1906-03-10,1906-03-10,unsicher,keines,,,
01204,145,stadium_1_name,Johannisberger Straße,Johannisberger Straße,Johannisberger Straße,unsicher,keines,,,
01204,145,stadium_2_datum,1931-02-10,1931-02-10,1931-02-10,unsicher,keines,,,
01204,145,stadium_2_name,Hattenheimer Straße,Hattenheimer Straße,Hattenheimer Straße,unsicher,keines,,,
01211,146,lemma,Haunerlandweg,Haunerlandweg,Hauenerlandweg,unsicher,eines,,,Datum: Komma nach Tag
01211,146,stadtteile,Frohnhausen,Frohnhausen,Frohnhausen,unsicher,keines,,,Datum: Komma nach Tag
01211,146,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum: Komma nach Tag
01211,146,namensgruppe,Kotten,Kotten,Kotten,unsicher,keines,,,Datum: Komma nach Tag
01211,146,verweis_auf,,,,unsicher,keines,,,Datum: Komma nach Tag
01211,146,stadium_1_datum,1938-10-21,1938-10-21,1938-10-21,unsicher,keines,,,Datum: Komma nach Tag
01211,146,stadium_1_name,Haunerlandweg,Haunerlandweg,Hauenerlandweg,unsicher,eines,,,Datum: Komma nach Tag
03670,146,lemma,Hauptstraße,Hauptstraße,Hauptstraße,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadtteile,Kettwig,Kettwig,Kettwig,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,namensgruppe,Lagebezeichnung,Lagebezeichnung,"(Fließtext, 317 Zeichen, verworfen)",unsicher,eines,,,Klammerzusatz ergänzt
03670,146,verweis_auf,,,,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_1_datum,vor 1821,vor 1821,vor 1821,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_1_name,Hauptstraße,Hauptstraße,Bismarckstraße,unsicher,eines,,,Klammerzusatz ergänzt
03670,146,stadium_2_datum,1871,1871,1871,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_2_name,Bismarckstraße (Umb.),Bismarckstraße (Umb.),Bismarckstraße,unsicher,eines,,,Klammerzusatz ergänzt
03670,146,stadium_3_datum,1876-12-04,1876-12-04,1876-12-04,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_3_name,Bahnhofstraße (tlw.),Bahnhofstraße (tlw. Umb.),Bahnhofstraße,unsicher,eines,,,Klammerzusatz ergänzt
03670,146,stadium_4_datum,1934-10-02,1934-10-02,1934-10-02,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_4_name,Adolf-Hitler-Straße (Umb.),Adolf-Hitler-Straße (Umb.),Adolf-Hitler-Straße,unsicher,eines,,,Klammerzusatz ergänzt
03670,146,stadium_5_datum,1945-04-26,1945-04-26,1945-04-26,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_5_name,Hauptstraße (Umb.),Hauptstraße (Umb.),Hauptstraße,unsicher,eines,,,Klammerzusatz ergänzt
03670,146,stadium_6_datum,1946-04-04,1946-04-04,1946-04-04,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_6_name,Mozartstraße,Mozartstraße,Mozartstraße,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_7_datum,1948-06-15,1948-06-15,1948-06-15,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_7_name,Bismarckstraße,Bismarckstraße,Bismarckstraße,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_8_datum,1970-11-20,1970-11-20,1970-11-20,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_8_name,Hauptstraße (Verl.),Hauptstraße (Verl.),Hauptstraße,unsicher,eines,,,Klammerzusatz ergänzt
03670,146,stadium_9_datum,1977-11-29,1977-11-29,1977-11-29,unsicher,keines,,,Klammerzusatz ergänzt
03670,146,stadium_9_name,Hauptstraße (Verl.),Hauptstraße (Verl.),Hauptstraße,unsicher,eines,,,Klammerzusatz ergänzt
01218,147,lemma,Haus-Horl-Straße,Haus-Horl-Straße,Haus-Horl-Straße,unsicher,keines,,,
01218,147,stadtteile,Dellwig; Gerschede,Dellwig; Gerschede,Dellwig,unsicher,eines,,,
01218,147,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,
01218,147,namensgruppe,Lehngut,Lehngut,Gemeindegasse,unsicher,eines,,,
01218,147,verweis_auf,,,,unsicher,keines,,,
01218,147,stadium_1_datum,1896-10-08,1896-10-08,1896-10-08,unsicher,keines,,,
01218,147,stadium_1_name,Franzstraße,Franzstraße,Franzstraße,unsicher,keines,,,
01218,147,stadium_2_datum,1896-10-08,1896-10-08,1896-10-08,unsicher,keines,,,
01218,147,stadium_2_name,Sternstraße,Sternstraße,Gerschede,unsicher,eines,,,
01218,147,stadium_3_datum,1915-07-09,1915-07-09,1915-07-09,unsicher,keines,,,
01218,147,stadium_3_name,Haus-Horl-Straße,Haus-Horl-Straße,Haus-Horl-Straße,unsicher,keines,,,
01225,148,lemma,De 3 Heckstraße - Hecktor Heckhülsenring,Heckhülsenring,Heckhülsring,unsicher,eines,,,Lemma auffällig (Länge)
01225,148,stadtteile,Heisingen,Heisingen,Heisingen,unsicher,keines,,,Lemma auffällig (Länge)
01225,148,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Lemma auffällig (Länge)
01225,148,namensgruppe,Flurname,Flurname,Flurname,unsicher,keines,,,Lemma auffällig (Länge)
01225,148,verweis_auf,,,,unsicher,keines,,,Lemma auffällig (Länge)
01225,148,stadium_1_datum,1938-10-21,1938-10-21,1938-10-21,unsicher,keines,,,Lemma auffällig (Länge)
01225,148,stadium_1_name,Heckhülsenring,Heckhülsenring,Heckhülsring,unsicher,eines,,,Lemma auffällig (Länge)
01228,148,lemma,Hedwigstraße,Hedwigstraße,Hedwigstraße,unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,stadtteile,Rüttenscheid,Rüttenscheid,Rüttenscheid,unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,namensgruppe,Weiblicher Vorname,Weiblicher Vorname,Weiblicher Vorname,unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,stadium_1_datum,1897-09-06,1897-09-06,1897-09-06,unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,stadium_1_name,Hedwigstraße,Hedwigstraße,Hedwigstraße,unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,stadium_2_datum,1907-02-01,1907-02-01,1907-02-01,unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,stadium_2_name,Hedwigstraße (Verl.),Hedwigstraße (Verl.),Hedwigstraße (Verl.),unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,stadium_3_datum,1908-05-01,1908-05-01,1908-05-01,unsicher,keines,,,Datum ohne Doppelpunkt
01228,148,stadium_3_name,Hedwigstraße (Verl.),Hedwigstraße (Verl.),Hedwigstraße (Verl.),unsicher,keines,,,Datum ohne Doppelpunkt
01416,148,lemma,Havelring,Havelring,Havelring,unsicher,keines,,,Datum ohne Doppelpunkt
01416,148,stadtteile,Bergerhausen,Bergerhausen,Bergerhausen,unsicher,keines,,,Datum ohne Doppelpunkt
01416,148,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01416,148,namensgruppe,Gewässer,Gewässer,Gewässer,unsicher,keines,,,Datum ohne Doppelpunkt
01416,148,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01416,148,stadium_1_datum,1960-09-07,1960-09-07,1960-09-07,unsicher,keines,,,Datum ohne Doppelpunkt
01416,148,stadium_1_name,Havelring,Havelring,Havelring,unsicher,keines,,,Datum ohne Doppelpunkt
01253,152,lemma,Heinrich-Strunk-Straße,Heinrich-Strunk-Straße,Heinrich-Strunk-Straße,unsicher,keines,,,Namenskette unvollständig gelesen
01253,152,stadtteile,Altendorf,Altendorf,Altendorf,unsicher,keines,,,Namenskette unvollständig gelesen
01253,152,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Namenskette unvollständig gelesen
01253,152,namensgruppe,"Person, Mann, Deutscher, Gewerkschafter, Stadtverordneter, Politiker","Person, Mann, Deutscher, Gewerkschafter, Stadtverordneter, Politiker","Person, Mann, Deutscher, Gewerkschafter, Stadtverordneter, Politiker",unsicher,keines,,,Namenskette unvollständig gelesen
01253,152,verweis_auf,,,,unsicher,keines,,,Namenskette unvollständig gelesen
01253,152,stadium_1_datum,"(urspr., kein Datum)","(urspr., kein Datum)",1902-05-16,unsicher,eines,,,Namenskette unvollständig gelesen
01253,152,stadium_1_name,Kaiserstraße,Kaiserstraße,Helmholtzstraße,unsicher,eines,,,Namenskette unvollständig gelesen
01253,152,stadium_1_urspruenglich,wahr,wahr,falsch,unsicher,eines,,,Namenskette unvollständig gelesen
01253,152,stadium_2_datum,1902-05-16,1902-05-16,1956-07-03,unsicher,eines,,,Namenskette unvollständig gelesen
01253,152,stadium_2_name,Helmholtzstraße,Helmholtzstraße,Heinrich-Strunk-Straße,unsicher,eines,,,Namenskette unvollständig gelesen
01253,152,stadium_3_datum,1956-07-03,1956-07-03,,unsicher,eines,,,Namenskette unvollständig gelesen
01253,152,stadium_3_name,Heinrich-Strunk-Straße,Heinrich-Strunk-Straße,,unsicher,eines,,,Namenskette unvollständig gelesen
01301,159,lemma,Hiegemannsgasse,Hiegemannsgasse,Hiegemannsgasse,unsicher,keines,,,Datum ohne Doppelpunkt
01301,159,stadtteile,Horst,Horst,Horst,unsicher,keines,,,Datum ohne Doppelpunkt
01301,159,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01301,159,namensgruppe,Familienname,Familienname,Familienname,unsicher,keines,,,Datum ohne Doppelpunkt
01301,159,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01301,159,stadium_1_datum,1919-05-28,1919-05-28,1919-05-28,unsicher,keines,,,Datum ohne Doppelpunkt
01301,159,stadium_1_name,Hiegemannsgasse,Hiegemannsgasse,Hiegemannsgasse,unsicher,keines,,,Datum ohne Doppelpunkt
01308,160,lemma,Hindenburgstraße,Hindenburgstraße,Hindenburgstraße,unsicher,keines,,,Datum ohne Doppelpunkt
01308,160,stadtteile,Stadtkern,Stadtkern,Stadtkern,unsicher,keines,,,Datum ohne Doppelpunkt
01308,160,strassenklasse,Kreisstraße,Kreisstraße,Kreisstraße,unsicher,keines,,,Datum ohne Doppelpunkt
01308,160,namensgruppe,"Person, Mann, Deutscher, Generalfeldmarschall, Reichspräsident","Person, Mann, Deutscher, Generalfeldmarschall, Reichspräsident","Person, Mann, Deutscher, Generalfeldmarschall, Reichspräsident",unsicher,keines,,,Datum ohne Doppelpunkt
01308,160,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01308,160,stadium_1_datum,"(urspr., kein Datum)","(urspr., kein Datum)","(urspr., kein Datum)",unsicher,keines,,,Datum ohne Doppelpunkt
01308,160,stadium_1_name,Ringstraße,Ringstraße,Ringstraße,unsicher,keines,,,Datum ohne Doppelpunkt
01308,160,stadium_1_urspruenglich,wahr,wahr,wahr,unsicher,keines,,,Datum ohne Doppelpunkt
01308,160,stadium_2_datum,1864,1864,1927-10-02,unsicher,eines,,,Datum ohne Doppelpunkt
01308,160,stadium_2_name,Bahnhofstraße,Bahnhofstraße,Hindenburgstraße,unsicher,eines,,,Datum ohne Doppelpunkt
01308,160,stadium_3_datum,1927-10-02,1927-10-02,,unsicher,eines,,,Datum ohne Doppelpunkt
01308,160,stadium_3_name,Hindenburgstraße,Hindenburgstraße,,unsicher,eines,,,Datum ohne Doppelpunkt
01310,160,lemma,Hinsbecker Berg,Hinsbecker Berg,Hinsbecker Berg,unsicher,keines,,,Datum ohne Doppelpunkt
01310,160,stadtteile,Kupferdreh,Kupferdreh,Kupferdreh,unsicher,keines,,,Datum ohne Doppelpunkt
01310,160,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01310,160,namensgruppe,Honnschaft,Honnschaft,Honnschaft,unsicher,keines,,,Datum ohne Doppelpunkt
01310,160,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01310,160,stadium_1_datum,1900-11-06,1900-11-06,1900-11-06,unsicher,keines,,,Datum ohne Doppelpunkt
01310,160,stadium_1_name,Bergstraße,Bergstraße,Bergstraße,unsicher,keines,,,Datum ohne Doppelpunkt
01310,160,stadium_2_datum,1934-01-12,1934-01-12,1934-01-12,unsicher,keines,,,Datum ohne Doppelpunkt
01310,160,stadium_2_name,Hinsbecker Berg,Hinsbecker,Hinsbecker Berg,unsicher,eines,,,Datum ohne Doppelpunkt
01320,162,lemma,Hobirkheide,Hobirkheide,Hobirkheide,unsicher,keines,,,Datum ohne Doppelpunkt
01320,162,stadtteile,Fulerum,Fulerum,Fulerum,unsicher,keines,,,Datum ohne Doppelpunkt
01320,162,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
01320,162,namensgruppe,Hofname,Hofname,Hofname,unsicher,keines,,,Datum ohne Doppelpunkt
01320,162,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
01320,162,stadium_1_datum,1934-06-05,1934-06-05,1934-06-05,unsicher,keines,,,Datum ohne Doppelpunkt
01320,162,stadium_1_name,Hobirkheide,Hobirkheide,Hobirkheide,unsicher,keines,,,Datum ohne Doppelpunkt
01333,163,lemma,Höntroper Straße,Höntroper Straße,Höntroper Straße,unsicher,keines,,,Straßenklasse ohne Marker
01333,163,stadtteile,Horst,Horst,Horst,unsicher,keines,,,Straßenklasse ohne Marker
01333,163,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Straßenklasse ohne Marker
01333,163,namensgruppe,Stadt und Ort,Stadt und Ort,Stadt und Ort,unsicher,keines,,,Straßenklasse ohne Marker
01333,163,verweis_auf,,,,unsicher,keines,,,Straßenklasse ohne Marker
01333,163,stadium_1_datum,1919-04-01,1919-04-01,1919-04-01,unsicher,keines,,,Straßenklasse ohne Marker
01333,163,stadium_1_name,Höntroper Straße,Höntroper Straße,Höntroper Straße,unsicher,keines,,,Straßenklasse ohne Marker
01360,166,lemma,Holsterhauser Straße,Holsterhauser Straße,Holsterhauser Straße,unsicher,keines,,,Namenskette unvollständig gelesen
01360,166,stadtteile,Holsterhausen; Südviertel,Holsterhausen; Südviertel,Holsterhausen; Südviertel,unsicher,keines,,,Namenskette unvollständig gelesen
01360,166,strassenklasse,Kreisstraße,Kreisstraße,Kreisstraße,unsicher,keines,,,Namenskette unvollständig gelesen
01360,166,namensgruppe,Bauerschaft,Bauerschaft,"Bauerschaft, urspr.: Marktstraße, urspr.: Böhmerstraße, urspr.: Torfstraße, urspr.: Mühlenstraße (tlw.)",unsicher,eines,,,Namenskette unvollständig gelesen
01360,166,verweis_auf,,,,unsicher,keines,,,Namenskette unvollständig gelesen
01360,166,stadium_1_datum,"(urspr., kein Datum)","(urspr., kein Datum)",am 13. Dezember 1901 (nicht normalisierbar),unsicher,eines,,,Namenskette unvollständig gelesen
01360,166,stadium_1_name,Marktstraße,Marktstraße,Holsterhauser Straße,unsicher,eines,,,Namenskette unvollständig gelesen
01360,166,stadium_1_urspruenglich,wahr,wahr,falsch,unsicher,eines,,,Namenskette unvollständig gelesen
01360,166,stadium_2_datum,"(urspr., kein Datum)","(urspr., kein Datum)",,unsicher,eines,,,Namenskette unvollständig gelesen
01360,166,stadium_2_name,Böhmerstraße,Böhmerstraße,,unsicher,eines,,,Namenskette unvollständig gelesen
01360,166,stadium_2_urspruenglich,wahr,wahr,,unsicher,eines,,,Namenskette unvollständig gelesen
01360,166,stadium_3_datum,"(urspr., kein Datum)","(urspr., kein Datum)",,unsicher,eines,,,Namenskette unvollständig gelesen
